year,state,population
1990,Georgia,6506531
1991,Georgia,6621279
1992,Georgia,6759474
1993,Georgia,6894092
1994,Georgia,7045900
1995,Georgia,7188538
1996,Georgia,7332225
1997,Georgia,7486094
1998,Georgia,7636522
1999,Georgia,7788240
2000,Georgia,8227303
2001,Georgia,8377038
2002,Georgia,8508256
2003,Georgia,8622793
2004,Georgia,8769252
2005,Georgia,8925922
2006,Georgia,9155813
2007,Georgia,9349988
2008,Georgia,9504843
2009,Georgia,9620846
2010,Georgia,9711881
2011,Georgia,9802431
2012,Georgia,9901430
2013,Georgia,9972479
2014,Georgia,10067278
2015,Georgia,10178447
2016,Georgia,10301890
2017,Georgia,10410330
2018,Georgia,10511131
2019,Georgia,10617423
1950,Hawaii,498000
1951,Hawaii,514000
1952,Hawaii,517000
1953,Hawaii,510000
1954,Hawaii,505000
1955,Hawaii,539000
1956,Hawaii,559000
1957,Hawaii,584000
1958,Hawaii,605000
1959,Hawaii,622000
1960,Hawaii,642000
1961,Hawaii,659000
1962,Hawaii,684000
1963,Hawaii,682000
1964,Hawaii,700000
1965,Hawaii,704000
1966,Hawaii,710000
1967,Hawaii,723000
1968,Hawaii,734000
1969,Hawaii,750000
1970,Hawaii,769913
1971,Hawaii,801644
1972,Hawaii,828331
1973,Hawaii,851595
1974,Hawaii,867978
1975,Hawaii,886160
1976,Hawaii,904191
1977,Hawaii,918259
1978,Hawaii,931584
1979,Hawaii,953306
1980,Hawaii,967710
1981,Hawaii,978195
1982,Hawaii,993780
1983,Hawaii,1012717
1984,Hawaii,1027922
1985,Hawaii,1039698
1986,Hawaii,1051762
1987,Hawaii,1067918
1988,Hawaii,1079828
1989,Hawaii,1094588
1990,Hawaii,1112703
1991,Hawaii,1131412
1992,Hawaii,1149926
1993,Hawaii,1161508
1994,Hawaii,1173903
1995,Hawaii,1180490
1996,Hawaii,1184434
1997,Hawaii,1189322
1998,Hawaii,1190472
1999,Hawaii,1185497
2000,Hawaii,1213519
2001,Hawaii,1225948
2002,Hawaii,1239613
2003,Hawaii,1251154
2004,Hawaii,1273569
2005,Hawaii,1292729
2006,Hawaii,1309731
2007,Hawaii,1315675
2008,Hawaii,1332213
2009,Hawaii,1346717
2010,Hawaii,1363963
2011,Hawaii,1379329
2012,Hawaii,1394804
2013,Hawaii,1408243
2014,Hawaii,1414538
2015,Hawaii,1422052
2016,Hawaii,1427559
2017,Hawaii,1424393
2018,Hawaii,1420593
2019,Hawaii,1415872
1900,Iowa,2231000
1901,Iowa,2227000
1902,Iowa,2222000
1903,Iowa,2217000
1904,Iowa,2212000
1905,Iowa,2211000
1906,Iowa,2214000
1907,Iowa,2217000
1908,Iowa,2220000
1909,Iowa,2223000
1910,Iowa,2228000
1911,Iowa,2249000
1912,Iowa,2279000
1913,Iowa,2305000
1914,Iowa,2338000
1915,Iowa,2366000
1916,Iowa,2376000
1917,Iowa,2382000
1918,Iowa,2351000
1919,Iowa,2379000
1920,Iowa,2400000
1921,Iowa,2407000
1922,Iowa,2428000
1923,Iowa,2425000
1924,Iowa,2420000
1925,Iowa,2427000
1926,Iowa,2432000
1927,Iowa,2441000
1928,Iowa,2450000
1929,Iowa,2460000
1930,Iowa,2475000
1931,Iowa,2482000
1932,Iowa,2489000
1933,Iowa,2495000
1934,Iowa,2510000
1935,Iowa,2524000
1936,Iowa,2509000
1937,Iowa,2498000
1938,Iowa,2494000
1939,Iowa,2520000
1940,Iowa,2537000
1941,Iowa,2491000
1942,Iowa,2439000
1943,Iowa,2334000
1944,Iowa,2301000
1945,Iowa,2308000
1946,Iowa,2467000
1947,Iowa,2509000
1948,Iowa,2543000
1949,Iowa,2578000
1950,Iowa,2625000
1951,Iowa,2617000
1952,Iowa,2626000
1953,Iowa,2629000
1954,Iowa,2626000
1955,Iowa,2679000
1956,Iowa,2703000
1957,Iowa,2716000
1958,Iowa,2708000
1959,Iowa,2729000
1960,Iowa,2756000
1961,Iowa,2756000
1962,Iowa,2750000
1963,Iowa,2747000
1964,Iowa,2746000
1965,Iowa,2742000
1966,Iowa,2762000
1967,Iowa,2793000
1968,Iowa,2803000
1969,Iowa,2805000
1970,Iowa,2825368
1971,Iowa,2851705
1972,Iowa,2860287
1973,Iowa,2863715
1974,Iowa,2867530
1975,Iowa,2880847
1976,Iowa,2903082
1977,Iowa,2913573
1978,Iowa,2918069
1979,Iowa,2915739
1980,Iowa,2914018
1981,Iowa,2907983
1982,Iowa,2888189
1983,Iowa,2870543
1984,Iowa,2858618
1985,Iowa,2829684
1986,Iowa,2791970
1987,Iowa,2767011
1988,Iowa,2768388
1989,Iowa,2770592
1990,Iowa,2779769
1991,Iowa,2791227
1992,Iowa,2806923
1993,Iowa,2820525
1994,Iowa,2829422
1995,Iowa,2840860
1996,Iowa,2848473
1997,Iowa,2854396
1998,Iowa,2861025
1999,Iowa,2869413
2000,Iowa,2929067
2001,Iowa,2931997
2002,Iowa,2934234
2003,Iowa,2941999
2004,Iowa,2953635
2005,Iowa,2964454
2006,Iowa,2982644
2007,Iowa,2999212
2008,Iowa,3016734
2009,Iowa,3032870
2010,Iowa,3050745
2011,Iowa,3066336
2012,Iowa,3076190
2013,Iowa,3092997
2014,Iowa,3109350
2015,Iowa,3120960
2016,Iowa,3131371
2017,Iowa,3141550
2018,Iowa,3148618
2019,Iowa,3155070
1900,Idaho,163000
1901,Idaho,176000
1902,Idaho,199000
1903,Idaho,216000
1904,Idaho,229000
1905,Idaho,246000
1906,Idaho,262000
1907,Idaho,277000
1908,Idaho,291000
1909,Idaho,311000
1910,Idaho,329000
1911,Idaho,343000
1912,Idaho,359000
1913,Idaho,371000
1914,Idaho,384000
1915,Idaho,394000
1916,Idaho,405000
1917,Idaho,413000
1918,Idaho,405000
1919,Idaho,424000
1920,Idaho,433000
1921,Idaho,435000
1922,Idaho,436000
1923,Idaho,436000
1924,Idaho,434000
1925,Idaho,436000
1926,Idaho,441000
1927,Idaho,447000
1928,Idaho,449000
1929,Idaho,447000
1930,Idaho,447000
1931,Idaho,454000
1932,Idaho,459000
1933,Idaho,464000
1934,Idaho,473000
1935,Idaho,481000
1936,Idaho,495000
1937,Idaho,507000
1938,Idaho,513000
1939,Idaho,521000
1940,Idaho,522000
1941,Idaho,501000
1942,Idaho,478000
1943,Idaho,500000
1944,Idaho,529000
1945,Idaho,507000
1946,Idaho,509000
1947,Idaho,522000
1948,Idaho,551000
1949,Idaho,570000
1950,Idaho,590000
1951,Idaho,589000
1952,Idaho,587000
1953,Idaho,596000
1954,Idaho,600000
1955,Idaho,618000
1956,Idaho,628000
1957,Idaho,642000
1958,Idaho,646000
1959,Idaho,657000
1960,Idaho,671000
1961,Idaho,684000
1962,Idaho,692000
1963,Idaho,683000
1964,Idaho,680000
1965,Idaho,686000
1966,Idaho,689000
1967,Idaho,688000
1968,Idaho,695000
1969,Idaho,707000
1970,Idaho,713015
1971,Idaho,738753
1972,Idaho,763237
1973,Idaho,782074
1974,Idaho,807990
1975,Idaho,831982
1976,Idaho,856983
1977,Idaho,883469
1978,Idaho,910690
1979,Idaho,932627
1980,Idaho,947983
1981,Idaho,962204
1982,Idaho,973721
1983,Idaho,981869
1984,Idaho,990839
1985,Idaho,994051
1986,Idaho,990224
1987,Idaho,984997
1988,Idaho,985664
1989,Idaho,994416
1990,Idaho,1011882
1991,Idaho,1038915
1992,Idaho,1066490
1993,Idaho,1101204
1994,Idaho,1135459
1995,Idaho,1165000
1996,Idaho,1187706
1997,Idaho,1210638
1998,Idaho,1230923
1999,Idaho,1251700
2000,Idaho,1299430
2001,Idaho,1319962
2002,Idaho,1340372
2003,Idaho,1363380
2004,Idaho,1391802
2005,Idaho,1428241
2006,Idaho,1468669
2007,Idaho,1505105
2008,Idaho,1534320
2009,Idaho,1554439
2010,Idaho,1570746
2011,Idaho,1583910
2012,Idaho,1595324
2013,Idaho,1611206
2014,Idaho,1631112
2015,Idaho,1651059
2016,Idaho,1682380
2017,Idaho,1717715
2018,Idaho,1750536
2019,Idaho,1787065
1900,Illinois,4828000
1901,Illinois,4914000
1902,Illinois,4992000
1903,Illinois,5071000
1904,Illinois,5161000
1905,Illinois,5241000
1906,Illinois,5309000
1907,Illinois,5384000
1908,Illinois,5474000
1909,Illinois,5567000
1910,Illinois,5668000
1911,Illinois,5757000
1912,Illinois,5828000
1913,Illinois,5961000
1914,Illinois,6109000
1915,Illinois,6194000
1916,Illinois,6274000
1917,Illinois,6313000
1918,Illinois,6275000
1919,Illinois,6392000
1920,Illinois,6663000
1921,Illinois,6858000
1922,Illinois,6958000
1923,Illinois,7068000
1924,Illinois,7215000
1925,Illinois,7306000
1926,Illinois,7395000
1927,Illinois,7519000
1928,Illinois,7576000
1929,Illinois,7606000
1930,Illinois,7644000
1931,Illinois,7687000
1932,Illinois,7736000
1933,Illinois,7768000
1934,Illinois,7772000
1935,Illinois,7797000
1936,Illinois,7840000
1937,Illinois,7857000
1938,Illinois,7866000
1939,Illinois,7890000
1940,Illinois,7905000
1941,Illinois,7995000
1942,Illinois,8057000
1943,Illinois,7761000
1944,Illinois,7719000
1945,Illinois,7601000
1946,Illinois,8155000
1947,Illinois,8341000
1948,Illinois,8552000
1949,Illinois,8670000
1950,Illinois,8738000
1951,Illinois,8790000
1952,Illinois,8956000
1953,Illinois,9065000
1954,Illinois,9252000
1955,Illinois,9435000
1956,Illinois,9530000
1957,Illinois,9668000
1958,Illinois,9886000
1959,Illinois,9986000
1960,Illinois,10086000
1961,Illinois,10130000
1962,Illinois,10280000
1963,Illinois,10402000
1964,Illinois,10580000
1965,Illinois,10693000
1966,Illinois,10836000
1967,Illinois,10947000
1968,Illinois,10995000
1969,Illinois,11039000
1970,Illinois,11110285
1971,Illinois,11202397
1972,Illinois,11251948
1973,Illinois,11251367
1974,Illinois,11262145
1975,Illinois,11291743
1976,Illinois,11342853
1977,Illinois,11386316
1978,Illinois,11412561
1979,Illinois,11396837
1980,Illinois,11434702
1981,Illinois,11443458
1982,Illinois,11423412
1983,Illinois,11408818
1984,Illinois,11412132
1985,Illinois,11399806
1986,Illinois,11387257
1987,Illinois,11391178
1988,Illinois,11390183
1989,Illinois,11409782
1990,Illinois,11446979
1991,Illinois,11535973
1992,Illinois,11635197
1993,Illinois,11725984
1994,Illinois,11804986
1995,Illinois,11884935
1996,Illinois,11953003
1997,Illinois,12011509
1998,Illinois,12069774
1999,Illinois,12128370
2000,Illinois,12434161
2001,Illinois,12488445
2002,Illinois,12525556
2003,Illinois,12556006
2004,Illinois,12589773
2005,Illinois,12609903
2006,Illinois,12643955
2007,Illinois,12695866
2008,Illinois,12747038
2009,Illinois,12796778
2010,Illinois,12840503
2011,Illinois,12867454
2012,Illinois,12882510
2013,Illinois,12895129
2014,Illinois,12884493
2015,Illinois,12858913
2016,Illinois,12820527
2017,Illinois,12778828
2018,Illinois,12723071
2019,Illinois,12671821
1900,Indiana,2518000
1901,Indiana,2541000
1902,Indiana,2567000
1903,Indiana,2594000
1904,Indiana,2614000
1905,Indiana,2635000
1906,Indiana,2663000
1907,Indiana,2679000
1908,Indiana,2677000
1909,Indiana,2678000
1910,Indiana,2713000
1911,Indiana,2751000
1912,Indiana,2785000
1913,Indiana,2824000
1914,Indiana,2857000
1915,Indiana,2873000
1916,Indiana,2897000
1917,Indiana,2910000
1918,Indiana,2880000
1919,Indiana,2906000
1920,Indiana,2947000
1921,Indiana,2976000
1922,Indiana,2965000
1923,Indiana,3042000
1924,Indiana,3086000
1925,Indiana,3119000
1926,Indiana,3148000
1927,Indiana,3191000
1928,Indiana,3212000
1929,Indiana,3226000
1930,Indiana,3242000
1931,Indiana,3257000
1932,Indiana,3281000
1933,Indiana,3304000
1934,Indiana,3319000
1935,Indiana,3332000
1936,Indiana,3348000
1937,Indiana,3374000
1938,Indiana,3386000
1939,Indiana,3403000
1940,Indiana,3433000
1941,Indiana,3483000
1942,Indiana,3507000
1943,Indiana,3449000
1944,Indiana,3440000
1945,Indiana,3427000
1946,Indiana,3702000
1947,Indiana,3779000
1948,Indiana,3877000
1949,Indiana,3958000
1950,Indiana,3967000
1951,Indiana,4096000
1952,Indiana,4148000
1953,Indiana,4182000
1954,Indiana,4264000
1955,Indiana,4363000
1956,Indiana,4458000
1957,Indiana,4529000
1958,Indiana,4583000
1959,Indiana,4613000
1960,Indiana,4674000
1961,Indiana,4730000
1962,Indiana,4736000
1963,Indiana,4799000
1964,Indiana,4856000
1965,Indiana,4922000
1966,Indiana,4999000
1967,Indiana,5053000
1968,Indiana,5093000
1969,Indiana,5143000
1970,Indiana,5195392
1971,Indiana,5253396
1972,Indiana,5302435
1973,Indiana,5338277
1974,Indiana,5361890
1975,Indiana,5365766
1976,Indiana,5389088
1977,Indiana,5425638
1978,Indiana,5470214
1979,Indiana,5501174
1980,Indiana,5490721
1981,Indiana,5480435
1982,Indiana,5467922
1983,Indiana,5450395
1984,Indiana,5458322
1985,Indiana,5459211
1986,Indiana,5454108
1987,Indiana,5473012
1988,Indiana,5491735
1989,Indiana,5523693
1990,Indiana,5555097
1991,Indiana,5602062
1992,Indiana,5648649
1993,Indiana,5701965
1994,Indiana,5745626
1995,Indiana,5791819
1996,Indiana,5834908
1997,Indiana,5872370
1998,Indiana,5907617
1999,Indiana,5942901
2000,Indiana,6091866
2001,Indiana,6127760
2002,Indiana,6155967
2003,Indiana,6196638
2004,Indiana,6233007
2005,Indiana,6278616
2006,Indiana,6332669
2007,Indiana,6379599
2008,Indiana,6424806
2009,Indiana,6459325
2010,Indiana,6490432
2011,Indiana,6516528
2012,Indiana,6537703
2013,Indiana,6568713
2014,Indiana,6593644
2015,Indiana,6608422
2016,Indiana,6634304
2017,Indiana,6658078
2018,Indiana,6695497
2019,Indiana,6732219
1900,Kansas,1473000
1901,Kansas,1490000
1902,Kansas,1505000
1903,Kansas,1498000
1904,Kansas,1527000
1905,Kansas,1555000
1906,Kansas,1576000
1907,Kansas,1612000
1908,Kansas,1629000
1909,Kansas,1658000
1910,Kansas,1692000
1911,Kansas,1684000
1912,Kansas,1671000
1913,Kansas,1663000
1914,Kansas,1662000
1915,Kansas,1687000
1916,Kansas,1727000
1917,Kansas,1748000
1918,Kansas,1729000
1919,Kansas,1756000
1920,Kansas,1769000
1921,Kansas,1779000
1922,Kansas,1799000
1923,Kansas,1808000
1924,Kansas,1807000
1925,Kansas,1825000
1926,Kansas,1836000
1927,Kansas,1836000
1928,Kansas,1850000
1929,Kansas,1867000
1930,Kansas,1883000
1931,Kansas,1881000
1932,Kansas,1883000
1933,Kansas,1877000
1934,Kansas,1868000
1935,Kansas,1872000
1936,Kansas,1869000
1937,Kansas,1856000
1938,Kansas,1842000
1939,Kansas,1824000
1940,Kansas,1788000
1941,Kansas,1765000
1942,Kansas,1760000
1943,Kansas,1796000
1944,Kansas,1779000
1945,Kansas,1731000
1946,Kansas,1805000
1947,Kansas,1853000
1948,Kansas,1892000
1949,Kansas,1925000
1950,Kansas,1916000
1951,Kansas,1950000
1952,Kansas,1977000
1953,Kansas,1994000
1954,Kansas,2042000
1955,Kansas,2093000
1956,Kansas,2119000
1957,Kansas,2128000
1958,Kansas,2142000
1959,Kansas,2160000
1960,Kansas,2183000
1961,Kansas,2215000
1962,Kansas,2231000
1963,Kansas,2217000
1964,Kansas,2209000
1965,Kansas,2206000
1966,Kansas,2200000
1967,Kansas,2197000
1968,Kansas,2216000
1969,Kansas,2236000
1970,Kansas,2249071
1971,Kansas,2246600
1972,Kansas,2256375
1973,Kansas,2265603
1974,Kansas,2269499
1975,Kansas,2280578
1976,Kansas,2301001
1977,Kansas,2320647
1978,Kansas,2335657
1979,Kansas,2350906
1980,Kansas,2369039
1981,Kansas,2384849
1982,Kansas,2401202
1983,Kansas,2415531
1984,Kansas,2424086
1985,Kansas,2427405
1986,Kansas,2432619
1987,Kansas,2445367
1988,Kansas,2461996
1989,Kansas,2472849
1990,Kansas,2480683
1991,Kansas,2495209
1992,Kansas,2526042
1993,Kansas,2547605
1994,Kansas,2569118
1995,Kansas,2586942
1996,Kansas,2598266
1997,Kansas,2616339
1998,Kansas,2638667
1999,Kansas,2654052
2000,Kansas,2693681
2001,Kansas,2702162
2002,Kansas,2713535
2003,Kansas,2723004
2004,Kansas,2734373
2005,Kansas,2745299
2006,Kansas,2762931
2007,Kansas,2783785
2008,Kansas,2808076
2009,Kansas,2832704
2010,Kansas,2858190
2011,Kansas,2869225
2012,Kansas,2885257
2013,Kansas,2893212
2014,Kansas,2900475
2015,Kansas,2909011
2016,Kansas,2910844
2017,Kansas,2908718
2018,Kansas,2911359
2019,Kansas,2913314
1900,Kentucky,2148000
1901,Kentucky,2162000
1902,Kentucky,2177000
1903,Kentucky,2191000
1904,Kentucky,2205000
1905,Kentucky,2220000
1906,Kentucky,2234000
1907,Kentucky,2249000
1908,Kentucky,2263000
1909,Kentucky,2278000
1910,Kentucky,2299000
1911,Kentucky,2324000
1912,Kentucky,2347000
1913,Kentucky,2374000
1914,Kentucky,2395000
1915,Kentucky,2401000
1916,Kentucky,2411000
1917,Kentucky,2421000
1918,Kentucky,2425000
1919,Kentucky,2413000
1920,Kentucky,2421000
1921,Kentucky,2436000
1922,Kentucky,2450000
1923,Kentucky,2480000
1924,Kentucky,2531000
1925,Kentucky,2520000
1926,Kentucky,2545000
1927,Kentucky,2551000
1928,Kentucky,2567000
1929,Kentucky,2606000
1930,Kentucky,2623000
1931,Kentucky,2652000
1932,Kentucky,2676000
1933,Kentucky,2698000
1934,Kentucky,2722000
1935,Kentucky,2748000
1936,Kentucky,2768000
1937,Kentucky,2784000
1938,Kentucky,2800000
1939,Kentucky,2825000
1940,Kentucky,2859000
1941,Kentucky,2824000
1942,Kentucky,2797000
1943,Kentucky,2693000
1944,Kentucky,2631000
1945,Kentucky,2597000
1946,Kentucky,2761000
1947,Kentucky,2803000
1948,Kentucky,2817000
1949,Kentucky,2849000
1950,Kentucky,2936000
1951,Kentucky,2941000
1952,Kentucky,2920000
1953,Kentucky,2903000
1954,Kentucky,2902000
1955,Kentucky,2910000
1956,Kentucky,2898000
1957,Kentucky,2928000
1958,Kentucky,2961000
1959,Kentucky,2999000
1960,Kentucky,3041000
1961,Kentucky,3054000
1962,Kentucky,3079000
1963,Kentucky,3096000
1964,Kentucky,3129000
1965,Kentucky,3140000
1966,Kentucky,3147000
1967,Kentucky,3172000
1968,Kentucky,3195000
1969,Kentucky,3198000
1970,Kentucky,3220711
1971,Kentucky,3298053
1972,Kentucky,3335728
1973,Kentucky,3371024
1974,Kentucky,3416315
1975,Kentucky,3467769
1976,Kentucky,3529257
1977,Kentucky,3573693
1978,Kentucky,3609976
1979,Kentucky,3641804
1980,Kentucky,3664221
1981,Kentucky,3670394
1982,Kentucky,3683445
1983,Kentucky,3694484
1984,Kentucky,3695453
1985,Kentucky,3694826
1986,Kentucky,3687809
1987,Kentucky,3683329
1988,Kentucky,3679999
1989,Kentucky,3677306
1990,Kentucky,3692584
1991,Kentucky,3714686
1992,Kentucky,3756358
1993,Kentucky,3792288
1994,Kentucky,3823215
1995,Kentucky,3855248
1996,Kentucky,3881051
1997,Kentucky,3907816
1998,Kentucky,3934310
1999,Kentucky,3960825
2000,Kentucky,4049021
2001,Kentucky,4068132
2002,Kentucky,4089875
2003,Kentucky,4117170
2004,Kentucky,4146101
2005,Kentucky,4182742
2006,Kentucky,4219239
2007,Kentucky,4256672
2008,Kentucky,4289878
2009,Kentucky,4317074
2010,Kentucky,4348181
2011,Kentucky,4369821
2012,Kentucky,4386346
2013,Kentucky,4404659
2014,Kentucky,4414349
2015,Kentucky,4425976
2016,Kentucky,4438182
2017,Kentucky,4452268
2018,Kentucky,4461153
2019,Kentucky,4467673
1900,Louisiana,1384000
1901,Louisiana,1412000
1902,Louisiana,1440000
1903,Louisiana,1467000
1904,Louisiana,1495000
1905,Louisiana,1523000
1906,Louisiana,1551000
1907,Louisiana,1579000
1908,Louisiana,1607000
1909,Louisiana,1634000
1910,Louisiana,1667000
1911,Louisiana,1695000
1912,Louisiana,1709000
1913,Louisiana,1727000
1914,Louisiana,1740000
1915,Louisiana,1755000
1916,Louisiana,1799000
1917,Louisiana,1795000
1918,Louisiana,1746000
1919,Louisiana,1756000
1920,Louisiana,1813000
1921,Louisiana,1847000
1922,Louisiana,1871000
1923,Louisiana,1903000
1924,Louisiana,1939000
1925,Louisiana,1972000
1926,Louisiana,2005000
1927,Louisiana,2039000
1928,Louisiana,2064000
1929,Louisiana,2086000
1930,Louisiana,2105000
1931,Louisiana,2124000
1932,Louisiana,2155000
1933,Louisiana,2178000
1934,Louisiana,2202000
1935,Louisiana,2228000
1936,Louisiana,2246000
1937,Louisiana,2257000
1938,Louisiana,2285000
1939,Louisiana,2334000
1940,Louisiana,2370000
1941,Louisiana,2484000
1942,Louisiana,2546000
1943,Louisiana,2565000
1944,Louisiana,2508000
1945,Louisiana,2429000
1946,Louisiana,2556000
1947,Louisiana,2579000
1948,Louisiana,2596000
1949,Louisiana,2634000
1950,Louisiana,2697000
1951,Louisiana,2769000
1952,Louisiana,2842000
1953,Louisiana,2866000
1954,Louisiana,2883000
1955,Louisiana,2946000
1956,Louisiana,3032000
1957,Louisiana,3115000
1958,Louisiana,3155000
1959,Louisiana,3208000
1960,Louisiana,3260000
1961,Louisiana,3287000
1962,Louisiana,3345000
1963,Louisiana,3377000
1964,Louisiana,3446000
1965,Louisiana,3496000
1966,Louisiana,3550000
1967,Louisiana,3581000
1968,Louisiana,3603000
1969,Louisiana,3619000
1970,Louisiana,3644637
1971,Louisiana,3710487
1972,Louisiana,3761646
1973,Louisiana,3788375
1974,Louisiana,3820109
1975,Louisiana,3886104
1976,Louisiana,3950605
1977,Louisiana,4014459
1978,Louisiana,4068579
1979,Louisiana,4137665
1980,Louisiana,4223101
1981,Louisiana,4283303
1982,Louisiana,4352608
1983,Louisiana,4395316
1984,Louisiana,4400477
1985,Louisiana,4408118
1986,Louisiana,4406919
1987,Louisiana,4344148
1988,Louisiana,4288863
1989,Louisiana,4252894
1990,Louisiana,4219179
1991,Louisiana,4240950
1992,Louisiana,4270849
1993,Louisiana,4284749
1994,Louisiana,4306500
1995,Louisiana,4327978
1996,Louisiana,4338763
1997,Louisiana,4351390
1998,Louisiana,4362758
1999,Louisiana,4372035
2000,Louisiana,4471885
2001,Louisiana,4477875
2002,Louisiana,4497267
2003,Louisiana,4521042
2004,Louisiana,4552238
2005,Louisiana,4576628
2006,Louisiana,4302665
2007,Louisiana,4375581
2008,Louisiana,4435586
2009,Louisiana,4491648
2010,Louisiana,4544532
2011,Louisiana,4575625
2012,Louisiana,4600972
2013,Louisiana,4624527
2014,Louisiana,4644013
2015,Louisiana,4664628
2016,Louisiana,4678135
2017,Louisiana,4670560
2018,Louisiana,4659690
2019,Louisiana,4648794
1900,Massachusetts,2788000
1901,Massachusetts,2794000
1902,Massachusetts,2856000
1903,Massachusetts,2924000
1904,Massachusetts,2969000
1905,Massachusetts,3018000
1906,Massachusetts,3107000
1907,Massachusetts,3183000
1908,Massachusetts,3251000
1909,Massachusetts,3316000
1910,Massachusetts,3365000
1911,Massachusetts,3383000
1912,Massachusetts,3440000
1913,Massachusetts,3534000
1914,Massachusetts,3636000
1915,Massachusetts,3705000
1916,Massachusetts,3726000
1917,Massachusetts,3738000
1918,Massachusetts,3695000
1919,Massachusetts,3785000
1920,Massachusetts,3882000
1921,Massachusetts,3951000
1922,Massachusetts,4010000
1923,Massachusetts,4057000
1924,Massachusetts,4102000
1925,Massachusetts,4154000
1926,Massachusetts,4194000
1927,Massachusetts,4223000
1928,Massachusetts,4217000
1929,Massachusetts,4229000
1930,Massachusetts,4250000
1931,Massachusetts,4248000
1932,Massachusetts,4259000
1933,Massachusetts,4282000
1934,Massachusetts,4305000
1935,Massachusetts,4343000
1936,Massachusetts,4355000
1937,Massachusetts,4358000
1938,Massachusetts,4365000
1939,Massachusetts,4347000
1940,Massachusetts,4318000
1941,Massachusetts,4389000
1942,Massachusetts,4370000
1943,Massachusetts,4257000
1944,Massachusetts,4192000
1945,Massachusetts,4201000
1946,Massachusetts,4494000
1947,Massachusetts,4580000
1948,Massachusetts,4674000
1949,Massachusetts,4741000
1950,Massachusetts,4686000
1951,Massachusetts,4654000
1952,Massachusetts,4650000
1953,Massachusetts,4806000
1954,Massachusetts,4910000
1955,Massachusetts,4882000
1956,Massachusetts,4891000
1957,Massachusetts,4929000
1958,Massachusetts,5010000
1959,Massachusetts,5117000
1960,Massachusetts,5160000
1961,Massachusetts,5219000
1962,Massachusetts,5263000
1963,Massachusetts,5344000
1964,Massachusetts,5448000
1965,Massachusetts,5502000
1966,Massachusetts,5535000
1967,Massachusetts,5594000
1968,Massachusetts,5618000
1969,Massachusetts,5650000
1970,Massachusetts,5689170
1971,Massachusetts,5737580
1972,Massachusetts,5760302
1973,Massachusetts,5781172
1974,Massachusetts,5773548
1975,Massachusetts,5757756
1976,Massachusetts,5743672
1977,Massachusetts,5738199
1978,Massachusetts,5736469
1979,Massachusetts,5738404
1980,Massachusetts,5746075
1981,Massachusetts,5768685
1982,Massachusetts,5771222
1983,Massachusetts,5799407
1984,Massachusetts,5840773
1985,Massachusetts,5880733
1986,Massachusetts,5902678
1987,Massachusetts,5935204
1988,Massachusetts,5979982
1989,Massachusetts,6015478
1990,Massachusetts,6018664
1991,Massachusetts,5998652
1992,Massachusetts,5993474
1993,Massachusetts,6010884
1994,Massachusetts,6031352
1995,Massachusetts,6062335
1996,Massachusetts,6085393
1997,Massachusetts,6115476
1998,Massachusetts,6144407
1999,Massachusetts,6175169
2000,Massachusetts,6361104
2001,Massachusetts,6397634
2002,Massachusetts,6417206
2003,Massachusetts,6422565
2004,Massachusetts,6412281
2005,Massachusetts,6403290
2006,Massachusetts,6410084
2007,Massachusetts,6431559
2008,Massachusetts,6468967
2009,Massachusetts,6517613
2010,Massachusetts,6566307
2011,Massachusetts,6613583
2012,Massachusetts,6663005
2013,Massachusetts,6713315
2014,Massachusetts,6762596
2015,Massachusetts,6794228
2016,Massachusetts,6823608
2017,Massachusetts,6859789
2018,Massachusetts,6882635
2019,Massachusetts,6892503
1900,Maryland,1189000
1901,Maryland,1200000
1902,Maryland,1210000
1903,Maryland,1209000
1904,Maryland,1217000
1905,Maryland,1237000
1906,Maryland,1251000
1907,Maryland,1257000
1908,Maryland,1269000
1909,Maryland,1289000
1910,Maryland,1302000
1911,Maryland,1324000
1912,Maryland,1345000
1913,Maryland,1368000
1914,Maryland,1389000
1915,Maryland,1401000
1916,Maryland,1415000
1917,Maryland,1428000
1918,Maryland,1467000
1919,Maryland,1445000
1920,Maryland,1464000
1921,Maryland,1492000
1922,Maryland,1509000
1923,Maryland,1521000
1924,Maryland,1537000
1925,Maryland,1556000
1926,Maryland,1576000
1927,Maryland,1599000
1928,Maryland,1610000
1929,Maryland,1621000
1930,Maryland,1636000
1931,Maryland,1657000
1932,Maryland,1678000
1933,Maryland,1694000
1934,Maryland,1710000
1935,Maryland,1729000
1936,Maryland,1745000
1937,Maryland,1754000
1938,Maryland,1766000
1939,Maryland,1793000
1940,Maryland,1839000
1941,Maryland,1913000
1942,Maryland,1998000
1943,Maryland,2089000
1944,Maryland,2118000
1945,Maryland,2096000
1946,Maryland,2214000
1947,Maryland,2248000
1948,Maryland,2271000
1949,Maryland,2329000
1950,Maryland,2355000
1951,Maryland,2441000
1952,Maryland,2500000
1953,Maryland,2567000
1954,Maryland,2685000
1955,Maryland,2742000
1956,Maryland,2811000
1957,Maryland,2873000
1958,Maryland,2982000
1959,Maryland,3066000
1960,Maryland,3113000
1961,Maryland,3176000
1962,Maryland,3263000
1963,Maryland,3386000
1964,Maryland,3492000
1965,Maryland,3600000
1966,Maryland,3695000
1967,Maryland,3757000
1968,Maryland,3815000
1969,Maryland,3868000
