state,party,year
Kentucky,Democrat,1976
Kentucky,Democrat,1977
Kentucky,Democrat,1978
Kentucky,Democrat,1979
Alaska,Republican,1974
Alaska,Republican,1975
Alaska,Republican,1976
Alaska,Republican,1977
Alaska,Republican,1978
Alaska,Republican,1979
Alaska,Republican,1980
Alaska,Republican,1981
Alaska,Republican,1982
New Jersey,Democrat,1974
New Jersey,Democrat,1975
New Jersey,Democrat,1976
New Jersey,Democrat,1977
New Jersey,Democrat,1978
New Jersey,Democrat,1979
New Jersey,Democrat,1980
New Jersey,Democrat,1981
New Jersey,Democrat,1982
Virginia,Republican,1974
Virginia,Republican,1975
Virginia,Republican,1976
Virginia,Republican,1977
Virginia,"Democrat (first term), Republican (second term)",1978
Virginia,Democrat,1966
Virginia,Democrat,1967
Virginia,Democrat,1968
Virginia,Democrat,1969
Virginia,"Democrat (first term), Republican (second term)",1970
New York,Republican,1973
New York,Republican,1974
New York,Republican,1975
Hawaii,Democrat,1973
Hawaii,Democrat,1974
Hawaii,Democrat,1975
Hawaii,Democrat,1976
Hawaii,Democrat,1977
Hawaii,Democrat,1978
Hawaii,Democrat,1979
Hawaii,Democrat,1980
Hawaii,Democrat,1981
Hawaii,Democrat,1982
Hawaii,Democrat,1983
Hawaii,Democrat,1984
Hawaii,Democrat,1985
Hawaii,Democrat,1986
Colorado,Republican,1973
Colorado,Republican,1974
Colorado,Republican,1975
Delaware,Democrat,1973
Delaware,Democrat,1974
Delaware,Democrat,1975
Delaware,Democrat,1976
Delaware,Democrat,1977
Texas,Democrat,1973
Texas,Democrat,1974
Texas,Democrat,1975
Texas,Democrat,1976
Texas,Democrat,1977
Texas,Democrat,1978
Texas,Democrat,1979
Indiana,Republican,1973
Indiana,Republican,1974
Indiana,Republican,1975
Indiana,Republican,1976
Indiana,Republican,1977
Indiana,Republican,1978
Indiana,Republican,1979
Indiana,Republican,1980
Indiana,Republican,1981
Illinois,Democrat,1973
Illinois,Democrat,1974
Illinois,Democrat,1975
Illinois,Democrat,1976
Illinois,Democrat,1977
New Hampshire,Republican,1973
New Hampshire,Republican,1974
New Hampshire,Republican,1975
New Hampshire,Republican,1976
New Hampshire,Republican,1977
New Hampshire,Republican,1978
New Hampshire,Republican,1979
Vermont,Democrat,1973
Vermont,Democrat,1974
Vermont,Democrat,1975
Vermont,Democrat,1976
Vermont,Democrat,1977
North Dakota,Democrat,1973
North Dakota,Democrat,1974
North Dakota,Democrat,1975
North Dakota,Democrat,1976
North Dakota,Democrat,1977
North Dakota,Democrat,1978
North Dakota,Democrat,1979
North Dakota,Democrat,1980
North Dakota,Democrat,1981
Rhode Island,Democrat,1973
Rhode Island,Democrat,1974
Rhode Island,Democrat,1975
Rhode Island,Democrat,1976
Rhode Island,Democrat,1977
North Carolina,Republican,1973
North Carolina,Republican,1974
North Carolina,Republican,1975
North Carolina,Republican,1976
North Carolina,Republican,1977
Montana,Democrat,1973
Montana,Democrat,1974
Montana,Democrat,1975
Montana,Democrat,1976
Montana,Democrat,1977
Montana,Democrat,1978
Montana,Democrat,1979
Montana,Democrat,1980
Montana,Democrat,1981
Mississippi,Democrat,1972
Mississippi,Democrat,1973
Mississippi,Democrat,1974
Mississippi,Democrat,1975
Mississippi,Democrat,1976
Kentucky,Democrat,1971
Kentucky,Democrat,1972
Kentucky,Democrat,1973
Kentucky,Democrat,1974
South Carolina,Democrat,1971
South Carolina,Democrat,1972
South Carolina,Democrat,1973
South Carolina,Democrat,1974
South Carolina,Democrat,1975
Pennsylvania,Democrat,1971
Pennsylvania,Democrat,1972
Pennsylvania,Democrat,1973
Pennsylvania,Democrat,1974
Pennsylvania,Democrat,1975
Pennsylvania,Democrat,1976
Pennsylvania,Democrat,1977
Pennsylvania,Democrat,1978
Pennsylvania,Democrat,1979
Tennessee,Republican,1971
Tennessee,Republican,1972
Tennessee,Republican,1973
Tennessee,Republican,1974
Tennessee,Republican,1975
Georgia,Democrat,1971
Georgia,Democrat,1972
Georgia,Democrat,1973
Georgia,Democrat,1974
Georgia,Democrat,1975
Arkansas,Democrat,1971
Arkansas,Democrat,1972
Arkansas,Democrat,1973
Arkansas,Democrat,1974
Arkansas,Democrat,1975
Ohio,Democrat,1971
Ohio,Democrat,1972
Ohio,Democrat,1973
Ohio,Democrat,1974
Ohio,Democrat,1975
Oklahoma,Democrat,1971
Oklahoma,Democrat,1972
Oklahoma,Democrat,1973
Oklahoma,Democrat,1974
Oklahoma,Democrat,1975
Nebraska,Democrat,1971
Nebraska,Democrat,1972
Nebraska,Democrat,1973
Nebraska,Democrat,1974
Nebraska,Democrat,1975
Nebraska,Democrat,1976
Nebraska,Democrat,1977
Nebraska,Democrat,1978
Nebraska,Democrat,1979
Connecticut,Republican,1971
Connecticut,Republican,1972
Connecticut,Republican,1973
Connecticut,Republican,1974
Connecticut,Republican,1975
Florida,Democrat,1971
Florida,Democrat,1972
Florida,Democrat,1973
Florida,Democrat,1974
Florida,Democrat,1975
Florida,Democrat,1976
Florida,Democrat,1977
Florida,Democrat,1978
Florida,Democrat,1979
South Dakota,Democrat,1971
South Dakota,Democrat,1972
South Dakota,Democrat,1973
South Dakota,Democrat,1974
South Dakota,Democrat,1975
South Dakota,Democrat,1976
South Dakota,Democrat,1977
South Dakota,Democrat,1978
Nevada,Democrat,1971
Nevada,Democrat,1972
Nevada,Democrat,1973
Nevada,Democrat,1974
Nevada,Democrat,1975
Nevada,Democrat,1976
Nevada,Democrat,1977
Nevada,Democrat,1978
Nevada,Democrat,1979
Minnesota,Democrat,1971
Minnesota,Democrat,1972
Minnesota,Democrat,1973
Minnesota,Democrat,1974
Minnesota,Democrat,1975
Minnesota,Democrat,1976
Wisconsin,Democrat,1971
Wisconsin,Democrat,1972
Wisconsin,Democrat,1973
Wisconsin,Democrat,1974
Wisconsin,Democrat,1975
Wisconsin,Democrat,1976
Wisconsin,Democrat,1977
Alaska,Democrat,1970
Alaska,Democrat,1971
Alaska,Democrat,1972
Alaska,Democrat,1973
Alaska,Democrat,1974
Alaska,Democrat,1959
Alaska,Democrat,1960
Alaska,Democrat,1961
Alaska,Democrat,1962
Alaska,Democrat,1963
Alaska,Democrat,1964
Alaska,Democrat,1965
Alaska,Democrat,1966
Virgin Islands,Republican,1970
Virgin Islands,Republican,1971
Virgin Islands,Republican,1972
Virgin Islands,Republican,1973
Virgin Islands,Republican,1974
Virgin Islands,Republican,1975
New Jersey,Republican,1970
New Jersey,Republican,1971
New Jersey,Republican,1972
New Jersey,Republican,1973
New Jersey,Republican,1974
Virginia,Republican,1970
Virginia,Republican,1971
Virginia,Republican,1972
Virginia,Republican,1973
Virginia,Republican,1974
Guam,Republican,1969
Guam,Republican,1970
Guam,Republican,1971
Guam,Republican,1972
Guam,Republican,1973
Guam,Republican,1974
Guam,Republican,1975
Alaska,Republican,1969
Alaska,Republican,1970
Michigan,Republican,1969
Michigan,Republican,1970
Michigan,Republican,1971
Michigan,Republican,1972
Michigan,Republican,1973
Michigan,Republican,1974
Michigan,Republican,1975
Michigan,Republican,1976
Michigan,Republican,1977
Michigan,Republican,1978
Michigan,Republican,1979
Michigan,Republican,1980
Michigan,Republican,1981
Michigan,Republican,1982
Michigan,Republican,1983
Massachusetts,Republican,1969
Massachusetts,Republican,1970
Massachusetts,Republican,1971
Massachusetts,Republican,1972
Massachusetts,Republican,1973
Massachusetts,Republican,1974
Massachusetts,Republican,1975
Delaware,Republican,1969
Delaware,Republican,1970
Delaware,Republican,1971
Delaware,Republican,1972
Delaware,Republican,1973
Texas,Democrat,1969
Texas,Democrat,1970
Texas,Democrat,1971
Texas,Democrat,1972
Texas,Democrat,1973
Iowa,Republican,1969
Iowa,Republican,1970
Iowa,Republican,1971
Iowa,Republican,1972
Iowa,Republican,1973
Iowa,Republican,1974
Iowa,Republican,1975
Iowa,Republican,1976
Iowa,Republican,1977
Iowa,Republican,1978
Iowa,Republican,1979
Iowa,Republican,1980
Iowa,Republican,1981
Iowa,Republican,1982
Iowa,Republican,1983
Illinois,Republican,1969
Illinois,Republican,1970
Illinois,Republican,1971
Illinois,Republican,1972
Illinois,Republican,1973
Indiana,Republican,1969
Indiana,Republican,1970
Indiana,Republican,1971
Indiana,Republican,1972
Indiana,Republican,1973
West Virginia,Republican,1969
West Virginia,Republican,1970
West Virginia,Republican,1971
West Virginia,Republican,1972
West Virginia,Republican,1973
West Virginia,Republican,1974
West Virginia,Republican,1975
West Virginia,Republican,1976
West Virginia,Republican,1977
Vermont,Republican,1969
Vermont,Republican,1970
Vermont,Republican,1971
Vermont,Republican,1972
Vermont,Republican,1973
South Dakota,Republican,1969
South Dakota,Republican,1970
South Dakota,Republican,1971
Maryland,Democrat,1969
Maryland,Democrat,1970
Maryland,Democrat,1971
Maryland,Democrat,1972
Maryland,Democrat,1973
Maryland,Democrat,1974
Maryland,Democrat,1975
Maryland,Democrat,1976
Maryland,Democrat,1977
Maryland,Democrat,1978
Maryland,Democrat,1979
Rhode Island,Democrat,1969
Rhode Island,Democrat,1970
Rhode Island,Democrat,1971
Rhode Island,Democrat,1972
Rhode Island,Democrat,1973
Montana,Democrat,1969
Montana,Democrat,1970
Montana,Democrat,1971
Montana,Democrat,1972
Montana,Democrat,1973
New Hampshire,Republican,1969
New Hampshire,Republican,1970
New Hampshire,Republican,1971
New Hampshire,Republican,1972
New Hampshire,Republican,1973
Iowa,Democrat,1969
Puerto Rico,New Progressive Party (Puerto Rico),1969
Puerto Rico,New Progressive Party (Puerto Rico),1970
Puerto Rico,New Progressive Party (Puerto Rico),1971
Puerto Rico,New Progressive Party (Puerto Rico),1972
Puerto Rico,New Progressive Party (Puerto Rico),1973
North Carolina,Democrat,1969
North Carolina,Democrat,1970
North Carolina,Democrat,1971
North Carolina,Democrat,1972
North Carolina,Democrat,1973
Illinois,Democrat,1968
Illinois,Democrat,1969
Alabama,Democrat,1968
Alabama,Democrat,1969
Alabama,Democrat,1970
Alabama,Democrat,1971
Mississippi,Democrat,1968
Mississippi,Democrat,1969
Mississippi,Democrat,1970
Mississippi,Democrat,1971
Mississippi,Democrat,1972
Kentucky,Republican,1967
Kentucky,Republican,1968
Kentucky,Republican,1969
Kentucky,Republican,1970
Kentucky,Republican,1971
Maryland,Republican,1967
Maryland,Republican,1968
Maryland,Republican,1969
Pennsylvania,Republican,1967
Pennsylvania,Republican,1968
Pennsylvania,Republican,1969
Pennsylvania,Republican,1970
Pennsylvania,Republican,1971
Tennessee,Democrat,1967
Tennessee,Democrat,1968
Tennessee,Democrat,1969
Tennessee,Democrat,1970
Tennessee,Democrat,1971
Tennessee,Democrat,1959
Tennessee,Democrat,1960
Tennessee,Democrat,1961
Tennessee,Democrat,1962
Tennessee,Democrat,1963
Alabama,Democrat,1967
Alabama,Democrat,1968
Georgia,Democrat,1967
Georgia,Democrat,1968
Georgia,Democrat,1969
Georgia,Democrat,1970
Georgia,Democrat,1971
Arkansas,Republican,1967
Arkansas,Republican,1968
Arkansas,Republican,1969
Arkansas,Republican,1970
Arkansas,Republican,1971
Oregon,Republican,1967
Oregon,Republican,1968
Oregon,Republican,1969
Oregon,Republican,1970
Oregon,Republican,1971
Oregon,Republican,1972
Oregon,Republican,1973
Oregon,Republican,1974
Oregon,Republican,1975
Oklahoma,Republican,1967
Oklahoma,Republican,1968
Oklahoma,Republican,1969
Oklahoma,Republican,1970
Oklahoma,Republican,1971
Kansas,Democrat,1967
Kansas,Democrat,1968
Kansas,Democrat,1969
Kansas,Democrat,1970
Kansas,Democrat,1971
Kansas,Democrat,1972
Kansas,Democrat,1973
Kansas,Democrat,1974
Kansas,Democrat,1975
Nebraska,Republican,1967
Nebraska,Republican,1968
Nebraska,Republican,1969
Nebraska,Republican,1970
Nebraska,Republican,1971
Maine,Democrat,1967
Maine,Democrat,1968
Maine,Democrat,1969
Maine,Democrat,1970
Maine,Democrat,1971
Maine,Democrat,1972
Maine,Democrat,1973
Maine,Democrat,1974
Maine,Democrat,1975
Florida,Republican,1967
Florida,Republican,1968
Florida,Republican,1969
Florida,Republican,1970
Florida,Republican,1971
California,Republican,1967
California,Republican,1968
California,Republican,1969
California,Republican,1970
California,Republican,1971
California,Republican,1972
California,Republican,1973
California,Republican,1974
California,Republican,1975
Idaho,Republican,1967
Idaho,Republican,1968
Idaho,Republican,1969
Idaho,Republican,1970
Idaho,Republican,1971
Arizona,Republican,1967
Arizona,Republican,1968
Arizona,Republican,1969
Arizona,Republican,1970
Arizona,Republican,1971
Arizona,Republican,1972
Arizona,Republican,1973
Arizona,Republican,1974
Arizona,Republican,1975
Nevada,Republican,1967
Nevada,Republican,1968
Nevada,Republican,1969
Nevada,Republican,1970
Nevada,Republican,1971
Minnesota,Republican,1967
Minnesota,Republican,1968
Minnesota,Republican,1969
Minnesota,Republican,1970
Minnesota,Republican,1971
Wyoming,Republican,1967
Wyoming,Republican,1968
Wyoming,Republican,1969
Wyoming,Republican,1970
Wyoming,Republican,1971
Wyoming,Republican,1972
Wyoming,Republican,1973
Wyoming,Republican,1974
Wyoming,Republican,1975
New Mexico,,1967
New Mexico,,1968
New Mexico,,1969
New Mexico,,1970
New Mexico,,1971
South Carolina,Democrat,1965
South Carolina,Democrat,1966
South Carolina,Democrat,1967
South Carolina,Democrat,1968
South Carolina,Democrat,1969
South Carolina,Democrat,1970
South Carolina,Democrat,1971
Delaware,Democrat,1965
Delaware,Democrat,1966
Delaware,Democrat,1967
Delaware,Democrat,1968
Delaware,Democrat,1969
West Virginia,Democrat,1965
West Virginia,Democrat,1966
West Virginia,Democrat,1967
West Virginia,Democrat,1968
West Virginia,Democrat,1969
Indiana,Democrat,1965
Indiana,Democrat,1966
Indiana,Democrat,1967
Indiana,Democrat,1968
Indiana,Democrat,1969
Missouri,Democrat,1965
Missouri,Democrat,1966
Missouri,Democrat,1967
Missouri,Democrat,1968
Missouri,Democrat,1969
Missouri,Democrat,1970
Missouri,Democrat,1971
Missouri,Democrat,1972
Missouri,Democrat,1973
Washington,Republican,1965
Washington,Republican,1966
Washington,Republican,1967
Washington,Republican,1968
Washington,Republican,1969
Washington,Republican,1970
Washington,Republican,1971
Washington,Republican,1972
Washington,Republican,1973
Washington,Republican,1974
Washington,Republican,1975
Washington,Republican,1976
Washington,Republican,1977
Kansas,Republican,1965
Kansas,Republican,1966
Kansas,Republican,1967
Massachusetts,Republican,1965
Massachusetts,Republican,1966
Massachusetts,Republican,1967
Massachusetts,Republican,1968
Massachusetts,Republican,1969
Massachusetts,Republican,1961
Massachusetts,Republican,1962
Massachusetts,Republican,1963
South Dakota,Republican,1965
South Dakota,Republican,1966
South Dakota,Republican,1967
South Dakota,Republican,1968
South Dakota,Republican,1969
Florida,Democrat,1965
Florida,Democrat,1966
Florida,Democrat,1967
Wisconsin,Republican,1965
Wisconsin,Republican,1966
Wisconsin,Republican,1967
Wisconsin,Republican,1968
Wisconsin,Republican,1969
Wisconsin,Republican,1970
Wisconsin,Republican,1971
Arizona,Democrat,1965
Arizona,Democrat,1966
Arizona,Democrat,1967
Utah,Democrat,1965
Utah,Democrat,1966
Utah,Democrat,1967
Utah,Democrat,1968
Utah,Democrat,1969
Utah,Democrat,1970
Utah,Democrat,1971
Utah,Democrat,1972
Utah,Democrat,1973
Utah,Democrat,1974
Utah,Democrat,1975
Utah,Democrat,1976
Utah,Democrat,1977
North Carolina,Democrat,1965
North Carolina,Democrat,1966
North Carolina,Democrat,1967
North Carolina,Democrat,1968
North Carolina,Democrat,1969
Puerto Rico,Popular Democratic Party,1965
Puerto Rico,Popular Democratic Party,1966
Puerto Rico,Popular Democratic Party,1967
Puerto Rico,Popular Democratic Party,1968
Puerto Rico,Popular Democratic Party,1969
Louisiana,Democrat,1964
Louisiana,Democrat,1965
Louisiana,Democrat,1966
Louisiana,Democrat,1967
Louisiana,Democrat,1968
Louisiana,Democrat,1969
Louisiana,Democrat,1970
Louisiana,Democrat,1971
Louisiana,Democrat,1972
Mississippi,Democrat,1964
Mississippi,Democrat,1965
Mississippi,Democrat,1966
Mississippi,Democrat,1967
Mississippi,Democrat,1968
Kentucky,Democrat,1963
Kentucky,Democrat,1964
Kentucky,Democrat,1965
Kentucky,Democrat,1966
Kentucky,Democrat,1967
Minnesota,Democrat,1963
Minnesota,Democrat,1964
Minnesota,Democrat,1965
Minnesota,Democrat,1966
Minnesota,Democrat,1967
Guam,Democrat,1963
Guam,Democrat,1964
Guam,Democrat,1965
Guam,Democrat,1966
Guam,Democrat,1967
Guam,Democrat,1968
Guam,Democrat,1969
Iowa,Democrat,1963
Iowa,Democrat,1964
Iowa,Democrat,1965
Iowa,Democrat,1966
Iowa,Democrat,1967
Iowa,Democrat,1968
Iowa,Democrat,1969
South Carolina,Democrat,1963
South Carolina,Democrat,1964
South Carolina,Democrat,1965
Georgia,Democrat,1963
Georgia,Democrat,1964
Georgia,Democrat,1965
Georgia,Democrat,1966
Georgia,Democrat,1967
Texas,Democrat,1963
Texas,Democrat,1964
Texas,Democrat,1965
Texas,Democrat,1966
Texas,Democrat,1967
Texas,Democrat,1968
Texas,Democrat,1969
Pennsylvania,Republican,1963
Pennsylvania,Republican,1964
Pennsylvania,Republican,1965
Pennsylvania,Republican,1966
Pennsylvania,Republican,1967
Vermont,Democrat,1963
Vermont,Democrat,1964
Vermont,Democrat,1965
Vermont,Democrat,1966
Vermont,Democrat,1967
Vermont,Democrat,1968
Vermont,Democrat,1969
Colorado,Republican,1963
Colorado,Republican,1964
Colorado,Republican,1965
Colorado,Republican,1966
Colorado,Republican,1967
Colorado,Republican,1968
Colorado,Republican,1969
Colorado,Republican,1970
Colorado,Republican,1971
Colorado,Republican,1972
Colorado,Republican,1973
Wyoming,Republican,1963
Wyoming,Republican,1964
Wyoming,Republican,1965
Wyoming,Republican,1966
Wyoming,Republican,1967
Wisconsin,Democrat,1963
Wisconsin,Democrat,1964
Wisconsin,Democrat,1965
New Hampshire,Democrat,1963
New Hampshire,Democrat,1964
New Hampshire,Democrat,1965
New Hampshire,Democrat,1966
New Hampshire,Democrat,1967
New Hampshire,Democrat,1968
New Hampshire,Democrat,1969
Massachusetts,Democrat,1963
Massachusetts,Democrat,1964
Massachusetts,Democrat,1965
New Mexico,Democrat,1963
New Mexico,Democrat,1964
New Mexico,Democrat,1965
New Mexico,Democrat,1966
New Mexico,Democrat,1967
Michigan,Republican,1963
Michigan,Republican,1964
Michigan,Republican,1965
Michigan,Republican,1966
Michigan,Republican,1967
Michigan,Republican,1968
Michigan,Republican,1969
Rhode Island,Republican,1963
Rhode Island,Republican,1964
Rhode Island,Republican,1965
Rhode Island,Republican,1966
Rhode Island,Republican,1967
Rhode Island,Republican,1968
Rhode Island,Republican,1969
Hawaii,Democrat,1962
Hawaii,Democrat,1963
Hawaii,Democrat,1964
Hawaii,Democrat,1965
Hawaii,Democrat,1966
Hawaii,Democrat,1967
Hawaii,Democrat,1968
Hawaii,Democrat,1969
Hawaii,Democrat,1970
Hawaii,Democrat,1971
Hawaii,Democrat,1972
Hawaii,Democrat,1973
Hawaii,Democrat,1974
New Mexico,Republican,1962
New Mexico,Republican,1963
Montana,Republican,1962
Montana,Republican,1963
Montana,Republican,1964
Montana,Republican,1965
Montana,Republican,1966
Montana,Republican,1967
Montana,Republican,1968
Montana,Republican,1969
New Jersey,Democrat,1962
New Jersey,Democrat,1963
New Jersey,Democrat,1964
New Jersey,Democrat,1965
New Jersey,Democrat,1966
New Jersey,Democrat,1967
New Jersey,Democrat,1968
New Jersey,Democrat,1969
New Jersey,Democrat,1970
Virginia,Democrat,1962
Virginia,Democrat,1963
Virginia,Democrat,1964
Virginia,Democrat,1965
Virginia,Democrat,1966
Connecticut,Democrat,1961
Connecticut,Democrat,1962
Connecticut,Democrat,1963
Connecticut,Democrat,1964
Connecticut,Democrat,1965
Connecticut,Democrat,1966
Connecticut,Democrat,1967
Connecticut,Democrat,1968
Connecticut,Democrat,1969
Connecticut,Democrat,1970
Connecticut,Democrat,1971
Delaware,Democrat,1961
Delaware,Democrat,1962
Delaware,Democrat,1963
Delaware,Democrat,1964
Delaware,Democrat,1965
Delaware,Democrat,1949
Delaware,Democrat,1950
Delaware,Democrat,1951
Delaware,Democrat,1952
Delaware,Democrat,1953
West Virginia,Democrat,1961
West Virginia,Democrat,1962
West Virginia,Democrat,1963
West Virginia,Democrat,1964
West Virginia,Democrat,1965
Iowa,Republican,1961
Iowa,Republican,1962
Iowa,Republican,1963
Illinois,Democrat,1961
Illinois,Democrat,1962
Illinois,Democrat,1963
Illinois,Democrat,1964
Illinois,Democrat,1965
Illinois,Democrat,1966
Illinois,Democrat,1967
Illinois,Democrat,1968
Indiana,Democrat,1961
Indiana,Democrat,1962
Indiana,Democrat,1963
Indiana,Democrat,1964
Indiana,Democrat,1965
Missouri,Democrat,1961
Missouri,Democrat,1962
Missouri,Democrat,1963
Missouri,Democrat,1964
Missouri,Democrat,1965
Kansas,Republican,1961
Kansas,Republican,1962
Kansas,Republican,1963
Kansas,Republican,1964
Kansas,Republican,1965
Nebraska,Democrat,1961
Nebraska,Democrat,1962
Nebraska,Democrat,1963
Nebraska,Democrat,1964
Nebraska,Democrat,1965
Nebraska,Democrat,1966
Nebraska,Democrat,1967
Vermont,Republican,1961
Vermont,Republican,1962
Vermont,Republican,1963
North Carolina,Democrat,1961
North Carolina,Democrat,1962
North Carolina,Democrat,1963
North Carolina,Democrat,1964
North Carolina,Democrat,1965
North Dakota,Democrat,1961
North Dakota,Democrat,1962
North Dakota,Democrat,1963
North Dakota,Democrat,1964
North Dakota,Democrat,1965
North Dakota,Democrat,1966
North Dakota,Democrat,1967
North Dakota,Democrat,1968
North Dakota,Democrat,1969
North Dakota,Democrat,1970
North Dakota,Democrat,1971
North Dakota,Democrat,1972
North Dakota,Democrat,1973
Montana,Republican,1961
Montana,Republican,1962
South Dakota,Republican,1961
South Dakota,Republican,1962
South Dakota,Republican,1963
South Dakota,Republican,1964
South Dakota,Republican,1965
Florida,Democrat,1961
Florida,Democrat,1962
Florida,Democrat,1963
Florida,Democrat,1964
Florida,Democrat,1965
Rhode Island,Democrat,1961
Rhode Island,Democrat,1962
Rhode Island,Democrat,1963
Michigan,Democrat,1961
Michigan,Democrat,1962
Michigan,Democrat,1963
Minnesota,Republican,1961
Minnesota,Republican,1962
Minnesota,Republican,1963
Wyoming,Democrat,1961
Wyoming,Democrat,1962
Wyoming,Democrat,1963
New Mexico,Republican,1961
New Mexico,Republican,1962
New Mexico,Republican,1957
New Mexico,Republican,1958
New Mexico,Republican,1959
New Mexico,Republican,1951
New Mexico,Republican,1952
New Mexico,Republican,1953
New Mexico,Republican,1954
New Mexico,Republican,1955
Virgin Islands,Democrat,1961
Virgin Islands,Democrat,1962
Virgin Islands,Democrat,1963
Virgin Islands,Democrat,1964
Virgin Islands,Democrat,1965
Virgin Islands,Democrat,1966
Virgin Islands,Democrat,1967
Virgin Islands,Democrat,1968
Virgin Islands,Democrat,1969
Delaware,Republican,1960
Delaware,Republican,1961
Nebraska,Republican,1960
Nebraska,Republican,1961
Louisiana,Democrat,1960
Louisiana,Democrat,1961
Louisiana,Democrat,1962
Louisiana,Democrat,1963
Louisiana,Democrat,1964
Louisiana,Democrat,1944
Louisiana,Democrat,1945
Louisiana,Democrat,1946
Louisiana,Democrat,1947
Louisiana,Democrat,1948
Mississippi,Democrat,1960
Mississippi,Democrat,1961
Mississippi,Democrat,1962
Mississippi,Democrat,1963
Mississippi,Democrat,1964
Kentucky,Democrat,1959
Kentucky,Democrat,1960
Kentucky,Democrat,1961
Kentucky,Democrat,1962
Kentucky,Democrat,1963
Maine,Republican,1959
Maine,Republican,1960
Maine,Republican,1961
Maine,Republican,1962
Maine,Republican,1963
Maine,Republican,1964
Maine,Republican,1965
Maine,Republican,1966
Maine,Republican,1967
South Carolina,Democrat,1959
South Carolina,Democrat,1960
South Carolina,Democrat,1961
South Carolina,Democrat,1962
South Carolina,Democrat,1963
Pennsylvania,Democrat,1959
Pennsylvania,Democrat,1960
Pennsylvania,Democrat,1961
Pennsylvania,Democrat,1962
Pennsylvania,Democrat,1963
Alabama,Democrat,1959
Alabama,Democrat,1960
Alabama,Democrat,1961
Alabama,Democrat,1962
Alabama,Democrat,1963
Maryland,Democrat,1959
Maryland,Democrat,1960
Maryland,Democrat,1961
Maryland,Democrat,1962
Maryland,Democrat,1963
Maryland,Democrat,1964
Maryland,Democrat,1965
Maryland,Democrat,1966
Maryland,Democrat,1967
Georgia,Democrat,1959
Georgia,Democrat,1960
Georgia,Democrat,1961
Georgia,Democrat,1962
Georgia,Democrat,1963
Ohio,Democrat,1959
Ohio,Democrat,1960
Ohio,Democrat,1961
Ohio,Democrat,1962
Ohio,Democrat,1963
Oregon,Republican,1959
Oregon,Republican,1960
Oregon,Republican,1961
Oregon,Republican,1962
Oregon,Republican,1963
Oregon,Republican,1964
Oregon,Republican,1965
Oregon,Republican,1966
Oregon,Republican,1967
Nebraska,Democrat,1959
Nebraska,Democrat,1960
Vermont,Republican,1959
Vermont,Republican,1960
Vermont,Republican,1961
Oklahoma,Democrat,1959
Oklahoma,Democrat,1960
Oklahoma,Democrat,1961
Oklahoma,Democrat,1962
Oklahoma,Democrat,1963
Maine,Democrat,1959
Rhode Island,Republican,1959
Rhode Island,Republican,1960
Rhode Island,Republican,1961
South Dakota,Democrat,1959
South Dakota,Democrat,1960
South Dakota,Democrat,1961
California,Democrat,1959
California,Democrat,1960
California,Democrat,1961
California,Democrat,1962
California,Democrat,1963
California,Democrat,1964
California,Democrat,1965
California,Democrat,1966
California,Democrat,1967
Wisconsin,Democrat,1959
Wisconsin,Democrat,1960
Wisconsin,Democrat,1961
Wisconsin,Democrat,1962
Wisconsin,Democrat,1963
Arizona,Republican,1959
Arizona,Republican,1960
Arizona,Republican,1961
Arizona,Republican,1962
Arizona,Republican,1963
Arizona,Republican,1964
Arizona,Republican,1965
Wyoming,Democrat,1959
Wyoming,Democrat,1960
Wyoming,Democrat,1961
Nevada,Democrat,1959
Nevada,Democrat,1960
Nevada,Democrat,1961
Nevada,Democrat,1962
Nevada,Democrat,1963
Nevada,Democrat,1964
Nevada,Democrat,1965
Nevada,Democrat,1966
Nevada,Democrat,1967
Maine,Republican,1959
New Hampshire,Republican,1959
New Hampshire,Republican,1960
New Hampshire,Republican,1961
New Hampshire,Republican,1962
New Hampshire,Republican,1963
New Mexico,Democrat,1959
New Mexico,Democrat,1960
New Mexico,Democrat,1961
New York,Republican,1959
New York,Republican,1960
New York,Republican,1961
New York,Republican,1962
New York,Republican,1963
New York,Republican,1964
New York,Republican,1965
New York,Republican,1966
New York,Republican,1967
New York,Republican,1968
New York,Republican,1969
New York,Republican,1970
New York,Republican,1971
New York,Republican,1972
New York,Republican,1973
Virginia,Democrat,1958
Virginia,Democrat,1959
Virginia,Democrat,1960
Virginia,Democrat,1961
Virginia,Democrat,1962
Hawaii,Republican,1957
Hawaii,Republican,1958
Hawaii,Republican,1959
Hawaii,Republican,1960
Hawaii,Republican,1961
Hawaii,Republican,1962
Iowa,Democrat,1957
Iowa,Democrat,1958
Iowa,Democrat,1959
Iowa,Democrat,1960
Iowa,Democrat,1961
Texas,Democrat,1957
Texas,Democrat,1958
Texas,Democrat,1959
Texas,Democrat,1960
Texas,Democrat,1961
Texas,Democrat,1962
Texas,Democrat,1963
Indiana,Republican,1957
Indiana,Republican,1958
Indiana,Republican,1959
Indiana,Republican,1960
Indiana,Republican,1961
Ohio,Republican,1957
Ohio,Republican,1958
Ohio,Republican,1959
Oregon,Democrat,1957
Oregon,Democrat,1958
Oregon,Democrat,1959
Missouri,Democrat,1957
Missouri,Democrat,1958
Missouri,Democrat,1959
Missouri,Democrat,1960
Missouri,Democrat,1961
Washington,Democrat,1957
Washington,Democrat,1958
Washington,Democrat,1959
Washington,Democrat,1960
